Tag,Label
9422,Taxonomy4 § Demographics § Children § Expecting
9424,Taxonomy4 § Demographics § Employment § Employed
9425,Taxonomy4 § Demographics § Employment § Executive
9426,Taxonomy4 § Demographics § Employment § Managerial
9428,Taxonomy4 § Demographics § Employment § Professional
9429,Taxonomy4 § Demographics § Employment § Retired
9430,Taxonomy4 § Demographics § Employment § Self-Employed
9431,Taxonomy4 § Demographics § Employment § Student
9432,Taxonomy4 § Demographics § Employment § Unemployed
9439,Taxonomy4 § Demographics § Relationship Status § Co-habiting
9440,Taxonomy4 § Demographics § Relationship Status § Married
9441,Taxonomy4 § Demographics § Relationship Status § Single
9447,Taxonomy4 § Retail & Consumer Goods § Electronics § Interest § Gadgets
9449,Taxonomy4 § Retail & Consumer Goods § Electronics § Interest § Laptop
9458,Taxonomy4 § Entertainment § Interest § Tickets § Cinema
9461,Taxonomy4 § Entertainment § Interest § Gambling
9463,Taxonomy4 § Entertainment § Interest § Media § Books
9464,Taxonomy4 § Entertainment § Interest § Media § Music
9466,Taxonomy4 § Entertainment § Interest § Tickets § Concert
9467,Taxonomy4 § Entertainment § Interest § Tickets § Theatre
9468,Taxonomy4 § Entertainment § Interest § Tickets § Sports Events
9471,Taxonomy4 § Entertainment § Interest § Video Games
9472,Taxonomy4 § Entertainment §  Video Game § Console User
9483,Taxonomy4 § Entertainment § Video Game § Quiz and Puzzle Games
9504,Taxonomy4 § Finance § Interest § Insurance § Auto Insurance
9511,Taxonomy4 § Entertainment §  Sport § Winter Sports
9572,Taxonomy4 § Entertainment § Online § Movie Downloads
9573,Taxonomy3 § Retired Segments § Internet and TV § Internet § Use § Streamed Media Watcher
9574,Taxonomy4 § Entertainment § Online § Social Networks
9582,Taxonomy4 § Lifestyle § TV Enthusiast
9629,Taxonomy3 § Retired Segments § FMCG/Retail § Online § Online Shopper
9631,Taxonomy4 § Retail & Consumer Goods § Clothes § Interest § Purchase
9632,Taxonomy4 § Retail & Consumer Goods § Clothes § Interest § Online Purchase
9639,Taxonomy4 § Retail & Consumer Goods § Clothes § Fashion Style § Outdoor
9656,Taxonomy4 § Retail & Consumer Goods § Interest § Jewelry
9657,Taxonomy4 § Retail & Consumer Goods § Interest § Watches
9663,Taxonomy3 § Retired Segments § Food § Online Food Buyer
9689,Taxonomy4 § Travel § Accomodation § Type § Hotel Intender
9690,Taxonomy4 § Travel § Accomodation § Type § Villa Intender
9697,Taxonomy4 § Travel § Accomodation § Type § Villa Stayer
9699,Taxonomy4 § Travel § Interest § Vacations
9701,Taxonomy4 § Travel § Interest § Flights § First Class
9702,Taxonomy4 § Travel § Interest § Flights § Business Class
9703,Taxonomy4 § Travel § Interest § Flights § Premium Economy Class
9704,Taxonomy4 § Travel § Interest § Flights § Economy Class
9715,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § Drama and Soaps TV Watcher
9716,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § Entertainment TV Watcher
9717,Taxonomy4 § Entertainment § TV § Factual
9718,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § Children and Family TV Watcher
9719,Taxonomy4 § Entertainment § Magazines § Lifestyle and Leisure
